Wall time,Step,Value
1733279304.3869905,65536,7335.960449
1733279391.1469646,131072,7596.605469
1733279478.3048782,196608,7149.44043
1733279565.272622,262144,7255.567871
1733279652.3813274,327680,7330.379883
1733279739.508301,393216,7364.796387
1733279826.412528,458752,7185.470703
1733280303.4525197,524288,7592.649414
1733280390.190158,589824,7204.799805
1733280477.144195,655360,7201.802734
1733280564.3516726,720896,7054.862305
1733280651.2173524,786432,6969.418945
1733280738.0530527,851968,7750.816406
1733280824.9107568,917504,6990.891602
1733280911.528886,983040,7102.130859
1733281395.9022808,1048576,7640.736816
1733281482.7074914,1114112,7137.749512
1733281569.869203,1179648,7537.573242
1733281656.6402743,1245184,7327.738281
1733281743.704853,1310720,7120.499512
1733281830.4203997,1376256,9423.526367
1733281917.336643,1441792,7055.48584
1733282401.8962798,1507328,7390.395996
1733282489.040977,1572864,7659.660156
1733282576.3082101,1638400,7576.897949
1733282663.2301939,1703936,7048.035645
1733282750.2208402,1769472,7172.441406
1733282837.1987817,1835008,7747.004395
1733282924.3184257,1900544,7056.291992
1733283011.3554728,1966080,7160.831543
1733283496.4191263,2031616,7455.080078
1733283583.3940916,2097152,7080.779785
1733283670.2642355,2162688,7413.095703
1733283756.8010497,2228224,7148.698242
1733283844.2422278,2293760,7435.605957
1733283931.1921685,2359296,7141.097168
1733284017.746748,2424832,7161.654785
1733284104.6414292,2490368,7339.405762
1733284590.2663786,2555904,7131.161133
1733284677.3354876,2621440,7732.724121
1733284764.1735191,2686976,7589.52002
1733284851.2849398,2752512,8874.750977
1733284938.6939452,2818048,7361.387207
1733285025.9621875,2883584,7369.359375
1733285113.6918108,2949120,7001.430176
1733285600.7970474,3014656,7556.80127
1733285688.0524445,3080192,7015.179688
1733285775.6211777,3145728,7461.750488
1733285862.7202413,3211264,7189.225586
1733285949.6649783,3276800,7159.378418
1733286036.7077813,3342336,7196.140625
1733286123.9792495,3407872,7235.191895
1733286211.1039944,3473408,7155.628906
1733286699.1866257,3538944,7387.883789
1733286786.4140625,3604480,7157.972168
1733286873.5466025,3670016,7254.882813
1733286960.652177,3735552,7193.550781
1733287047.5968792,3801088,7757.904297
1733287134.7736773,3866624,7125.468262
1733287221.700063,3932160,7503.408203
1733287308.768076,3997696,7182.040527
1733287796.828387,4063232,7142.437012
1733287883.8502748,4128768,8823.673828
1733287971.2953775,4194304,7078.066406
1733288058.237472,4259840,7655.796875
1733288145.5060167,4325376,7082.34668
1733288232.5266728,4390912,7300.254395
1733288319.6433368,4456448,7184.938965
1733288804.2789838,4521984,8499.504883
1733288891.6741233,4587520,8257.731445
1733288978.8049574,4653056,7948.191895
1733289066.732214,4718592,7600.737305
1733289153.8148696,4784128,7263.272949
1733289241.0328805,4849664,7820.277832
1733289327.9549713,4915200,7408.74707
1733289415.643151,4980736,7501.148926
1733289903.3946242,5046272,7957.230957
1733289990.3374984,5111808,7772.958496
1733290077.3104162,5177344,7331.34668
1733290164.536863,5242880,7358.646484
1733290251.5415869,5308416,7244.706055
1733290338.7638075,5373952,7197.084961
1733290425.9374707,5439488,7311.600586
1733290910.9981534,5505024,8440.143555
1733290998.4581978,5570560,7155.364258
1733291085.8723037,5636096,7280.238281
1733291173.0307853,5701632,7448.317383
