Wall time,Step,Value
1733423949.6197639,3096000,6233.37939453125
1733423963.646196,3112000,6395.36669921875
1733424018.820694,3176000,8108.93115234375
1733424032.6600266,3192000,7846.70263671875
1733424060.1653204,3224000,8157.9765625
1733424074.0816936,3240000,8337.7451171875
1733424087.811025,3256000,8253.994140625
1733424115.378098,3288000,9014.0439453125
1733424129.092228,3304000,9282.484375
1733424142.8687747,3320000,9473.857421875
1733424156.6287897,3336000,9562.0859375
1733424211.5436716,3400000,9178.5537109375
1733424739.1637802,3544000,7576.0791015625
1733424752.8566933,3560000,8047.69970703125
1733424780.5172908,3592000,8173.43310546875
1733424822.0329418,3640000,8650.4951171875
1733424835.8092759,3656000,8484.2158203125
1733424863.3125703,3688000,8414.337890625
1733424891.038345,3720000,7767.45068359375
1733424904.8145566,3736000,7369.11279296875
1733424932.5356226,3768000,7344.96142578125
1733424960.431719,3800000,6514.65625
1733424974.4110222,3816000,5827.94140625
1733425015.911661,3864000,5211.64208984375
1733425029.6876838,3880000,5949.01513671875
1733425043.464554,3896000,6626.14306640625
1733425057.3805697,3912000,7097.32861328125
1733425071.2195122,3928000,7201.19970703125
1733425112.6893427,3976000,6134.76416015625
1733425126.5126584,3992000,5897.80810546875
1733425558.8727312,4024000,6471.14599609375
1733425586.720553,4056000,7635.05712890625
1733425600.5123804,4072000,7020.21484375
1733425614.4446185,4088000,6446.9521484375
1733425628.393535,4104000,5990.662109375
1733425669.9129426,4152000,7099.5634765625
1733425683.76781,4168000,7414.32373046875
1733425697.5911288,4184000,7883.466796875
1733425711.4922178,4200000,6982.8056640625
1733425739.3266547,4232000,5687.9033203125
1733425780.9041348,4280000,6046.318359375
1733425850.2654977,4360000,6458.32373046875
1733425864.1032884,4376000,5741.59423828125
1733425878.0044882,4392000,4529.48046875
1733425891.8115778,4408000,3797.820068359375
1733425905.6187184,4424000,3830.010498046875
1733425919.5674217,4440000,3957.011474609375
1733426392.8704782,4520000,4890.5673828125
1733426503.530192,4648000,5444.439453125
1733426545.0535483,4696000,4470.02001953125
1733426558.1933217,4712000,5056.08984375
1733426652.899439,4824000,4961.61962890625
1733426694.4214294,4872000,5573.13037109375
1733426721.9635386,4904000,6105.82470703125
1733426735.820777,4920000,6294.1962890625
1733426749.7412577,4936000,6575.97021484375
1733426877.2866533,5000000,8771.7158203125
1733426891.344699,5016000,8576.125
1733426905.2645385,5032000,8693.423828125
1733426946.6182196,5080000,9104.7314453125
1733426960.5054793,5096000,9131.65625
1733427001.9812417,5144000,8544.4169921875
1733427057.5676582,5208000,7293.42724609375
1733427085.3966026,5240000,6869.9794921875
1733427113.2249684,5272000,5707.2158203125
1733427127.1164079,5288000,5409.81787109375
1733427140.926859,5304000,5447.9091796875
1733427154.8154871,5320000,5693.07666015625
1733427209.9455185,5384000,4783.90478515625
1733427237.6957836,5416000,5673.97021484375
1733427279.456565,5464000,6178.70166015625
1733427293.3634994,5480000,5814.60986328125
1733427307.1274052,5496000,5130.2392578125
1733427738.142079,5528000,4987.60009765625
1733427752.0177295,5544000,5100.11181640625
1733427765.8448331,5560000,5872.25537109375
1733427806.9810655,5608000,7872.82763671875
1733427834.6330488,5640000,8663.9404296875
1733427848.5218186,5656000,8966.1865234375
1733427876.3327425,5688000,9729.2333984375
1733427889.5186577,5704000,9902.376953125
1733427930.305187,5752000,9896.0
1733427998.721487,5832000,9912.86328125
1733428012.0811758,5848000,9912.86328125
1733428025.6920419,5864000,9912.86328125
1733428052.814918,5896000,9822.8642578125
1733428066.2529676,5912000,9910.0009765625
1733428093.3466845,5944000,9805.400390625
1733428120.396143,5976000,9805.400390625
1733428133.8779998,5992000,9796.599609375
1733428548.9561827,6008000,9796.599609375
1733428562.7900474,6024000,9796.599609375
1733428590.4561534,6056000,9901.2001953125
1733428604.2686722,6072000,9901.2001953125
1733428700.6373088,6184000,9896.4658203125
1733428756.1127672,6248000,9896.099609375
1733428811.3785424,6312000,9926.1611328125
1733428825.0603213,6328000,9733.5166015625
1733428838.8101358,6344000,9644.5419921875
1733428894.1286016,6408000,9546.2734375
1733428935.6910515,6456000,9908.099609375
1733429379.701326,6504000,9908.3408203125
1733429393.6597645,6520000,9908.3408203125
1733429435.4251168,6568000,9816.4140625
1733429449.269162,6584000,9721.1669921875
1733429477.0245776,6616000,9812.826171875
1733429490.909928,6632000,9807.9775390625
1733429504.7068882,6648000,9807.9765625
1733429532.4095125,6680000,9695.5322265625
1733429546.2214925,6696000,9597.8173828125
1733429573.6711211,6728000,9694.5947265625
1733429587.5814598,6744000,9389.06640625
1733429601.5186174,6760000,9299.357421875
1733429643.0341125,6808000,9292.8720703125
1733429684.4406862,6856000,9612.087890625
1733429753.6698132,6936000,9334.1845703125
1733429781.1589644,6968000,9413.7783203125
1733429833.7839048,7000000,8466.88671875
1733429847.5436704,7016000,8368.2998046875
1733429914.627991,7096000,5492.798828125
1733429953.8466885,7144000,4933.28076171875
1733429967.2459927,7160000,5050.87890625
1733429980.1590154,7176000,5450.2109375
1733429993.1613379,7192000,5772.3916015625
1733430020.3312223,7224000,5193.9892578125
1733430074.8620443,7288000,5402.548828125
1733430102.00887,7320000,5639.0029296875
1733430129.2530923,7352000,4916.5537109375
1733430156.5245602,7384000,5219.595703125
1733430223.3778424,7464000,7542.00048828125
1733430250.643467,7496000,7258.369140625
1733430707.3933907,7560000,6948.0263671875
1733430774.7217367,7640000,9350.82421875
1733430802.3151972,7672000,9821.5341796875
1733430816.1121523,7688000,9896.2578125
1733430856.7840729,7736000,9797.7998046875
1733430884.3935132,7768000,9797.7998046875
1733430898.0026724,7784000,9901.599609375
1733430911.7058222,7800000,9901.599609375
1733430939.4246283,7832000,9901.599609375
1733430953.1903641,7848000,10000.0
1733430966.971372,7864000,10000.0
1733431022.284309,7928000,10000.0
1733431036.127929,7944000,9901.806640625
1733431063.8311648,7976000,9901.806640625
1733431506.0598779,8024000,9901.806640625
1733431561.2871265,8088000,10000.0
1733431575.1726384,8104000,10000.0
1733431588.9330819,8120000,10000.0
1733431602.7566152,8136000,10000.0
1733431630.3231082,8168000,10000.0
1733431671.7128904,8216000,10000.0
1733431685.5829027,8232000,10000.0
1733431699.484693,8248000,10000.0
1733431741.108207,8296000,10000.0
1733431755.009582,8312000,10000.0
1733431782.624737,8344000,10000.0
1733431866.4300447,8440000,10000.0
1733431894.1385157,8472000,10000.0
1733432338.808629,8520000,10000.0
1733432352.7864797,8536000,10000.0
1733432380.383472,8568000,10000.0
1733432394.191213,8584000,10000.0
1733432463.5535803,8664000,10000.0
1733432477.3447132,8680000,10000.0
1733432504.9443123,8712000,10000.0
1733432532.5270827,8744000,10000.0
1733432545.9028525,8760000,10000.0
1733432559.0766313,8776000,10000.0
1733432599.7416308,8824000,10000.0
1733432613.5385792,8840000,10000.0
1733432655.1871898,8888000,10000.0
1733432669.0468552,8904000,10000.0
1733432696.9074671,8936000,10000.0
1733432710.7988362,8952000,10000.0
1733432738.6585653,8984000,10000.0
1733433195.4402757,9048000,10000.0
1733433209.31558,9064000,10000.0
1733433223.0810368,9080000,10000.0
1733433250.8310204,9112000,10000.0
1733433264.6590075,9128000,10000.0
1733433306.1276326,9176000,10000.0
1733433320.0342193,9192000,10000.0
1733433333.8777347,9208000,10000.0
1733433347.7060044,9224000,10000.0
1733433375.5342197,9256000,10000.0
1733433389.4091485,9272000,10000.0
1733433403.3621092,9288000,10000.0
1733433417.2527463,9304000,10000.0
1733433542.3777742,9448000,10000.0
1733433556.1276734,9464000,10000.0
1733433583.3342957,9496000,9906.2041015625
1733434027.6640055,9544000,9906.2041015625
1733434125.0273483,9656000,10000.2314453125
1733434138.8929331,9672000,10000.2314453125
1733434194.4776037,9736000,10000.0
1733434208.3812459,9752000,10000.0
1733434222.3138068,9768000,10000.0
1733434250.0960536,9800000,10000.0
1733434277.5861576,9832000,9902.5390625
1733434333.115379,9896000,9902.5751953125
1733434861.898732,10040000,10000.0
1733434875.7997825,10056000,10000.0
1733434889.6533995,10072000,10000.0
1733434903.447071,10088000,10000.0
1733434931.2019563,10120000,9957.2333984375
1733434945.0702965,10136000,9957.2333984375
1733434986.6029005,10184000,9957.2333984375
1733435028.2894084,10232000,9908.8037109375
1733435125.4158907,10344000,9797.251953125
1733435139.3512926,10360000,9797.251953125
1733435153.269831,10376000,9887.6484375
1733435167.0957983,10392000,9887.6484375
1733435194.6538937,10424000,9904.1845703125
1733435208.4477043,10440000,9745.267578125
1733435222.3676014,10456000,9609.5576171875
1733435250.146841,10488000,9389.6044921875
1733435669.5280237,10504000,9313.490234375
1733435683.44763,10520000,9315.7578125
1733435711.1304138,10552000,9199.3056640625
1733435738.8428147,10584000,9040.146484375
1733435752.590465,10600000,9081.47265625
1733435807.8846853,10664000,9175.0703125
1733435905.241207,10776000,7362.61767578125
1733435946.9291809,10824000,7168.9189453125
1733435960.817224,10840000,7795.06396484375
1733435988.4377172,10872000,6701.5029296875
1733436016.163258,10904000,6023.07373046875
1733436057.8286698,10952000,5895.244140625
1733436519.8055117,11128000,7060.20458984375
1733436561.5644486,11176000,6133.921875
1733436575.4064548,11192000,6155.09423828125
1733436589.1377647,11208000,6316.95166015625
1733436616.7722564,11240000,6574.12646484375
1733436644.0741317,11272000,6300.29296875
1733436657.2715294,11288000,6165.80029296875
1733436684.3932252,11320000,5460.91064453125
1733436752.1591697,11400000,5681.93359375
1733436765.674524,11416000,6243.1826171875
1733437247.752991,11512000,7266.80517578125
1733437274.627968,11544000,7618.63134765625
1733437288.1120157,11560000,7914.51953125
1733437301.674897,11576000,8047.76025390625
1733437315.065314,11592000,8260.7265625
1733437328.4872808,11608000,8515.0634765625
1733437341.9760785,11624000,8669.5
1733437355.5653286,11640000,8466.8427734375
1733437368.9245167,11656000,8622.3662109375
1733437382.3622928,11672000,8599.951171875
1733437395.4783673,11688000,8310.9306640625
1733437422.4777677,11720000,7396.99169921875
1733437462.2221026,11768000,6755.13134765625
1733437475.2527995,11784000,6781.9853515625
1733437488.3153973,11800000,6938.9482421875
1733437515.7094288,11832000,7237.33251953125
1733437570.59741,11896000,7991.1708984375
1733437596.9559016,11928000,7539.66552734375
1733437623.833313,11960000,7614.4228515625
1733438099.0179152,12024000,8452.392578125
1733438113.574832,12040000,8698.904296875
1733438127.9141002,12056000,8627.94921875
1733438156.810069,12088000,9107.248046875
1733438185.6008992,12120000,9323.6513671875
1733438214.2171915,12152000,9477.6181640625
1733438242.5971394,12184000,9709.1728515625
1733438256.8828206,12200000,9613.48046875
1733438299.776505,12248000,9691.1787109375
1733438328.68864,12280000,9712.451171875
1733438343.0596545,12296000,9905.2919921875
1733438357.6323721,12312000,10000.201171875
1733438372.2683742,12328000,10000.2119140625
1733438386.7166667,12344000,9916.5751953125
1733438401.7809975,12360000,9873.8857421875
1733438432.2922425,12392000,9591.486328125
1733438447.4458876,12408000,9591.4765625
1733438522.1099057,12488000,10000.0068359375
1733438972.01179,12504000,9847.537109375
1733439002.3288634,12536000,9757.8642578125
1733439017.7150862,12552000,9757.8583984375
1733439032.8422532,12568000,9757.8583984375
1733439078.1143174,12616000,9355.634765625
1733439108.065812,12648000,9321.57421875
1733439138.0360868,12680000,9203.34765625
