Wall time,Step,Value
1733169057.7669713,131072,10120.54688
1733169161.3627186,196608,7416.425293
1733169262,262144,6144.219238
1733169365.6254683,327680,4028.786376953125
1733169465.989808,393216,3732.74707
1733169565.6410208,458752,3967.193848
1733170126.902073,500000,4244.755371
1733170249.8492389,589824,4485.855957
1733170349.484957,655360,5335.05127
1733170448.0276382,720896,5113.398926
1733170547.4892426,786432,5675.09668
1733170647.210458,851968,5654.90918
1733170748.2154422,917504,6482.878418
1733170849.944292,983040,6317.533203
1733171402.4276955,1000000,6362.076172
1733171549.708642,1114112,6455.65918
1733171652.8275394,1179648,6654.634766
1733171755.083082,1245184,6520.852051
1733171855,1310720,6982.906738
1733171956.0673296,1376256,6908.755859
1733172057.4421904,1441792,8289.987305
1733172630.2317028,1500000,6992.791992
1733172737.488702,1572864,6810.830078
1733172838.802918,1638400,7280.279785
1733172938.0829058,1703936,7003.452148
1733173037.1290047,1769472,7168.060059
1733173136.8480277,1835008,7375.605469
1733173236.8539965,1900544,7091.138184
1733173336,1966080,6937.585938
1733173909.0297728,2000000,7023.576172
1733174038.9369395,2097152,7571.607422
1733174137.8898184,2162688,7584.423828
1733174238.377746,2228224,7727.137207
1733174338.0199952,2293760,7543.380859
1733174436.5801954,2359296,7417.199219
1733174535.7282822,2424832,6989.613281
1733174636.987057,2490368,7842.346191
1733175159.2849023,2500000,7077.872559
1733175310.3827686,2621440,7274.13916
1733175409.5663636,2686976,7377.276367
1733175508.6197588,2752512,7383.65332
1733175608.2699869,2818048,8016.78418
1733175707.229877,2883584,7426.383301
1733175809.267194,2949120,7285.162109
1733176377.625377,3000000,7288.118164
1733176496.4531794,3080192,7281.111328
1733176597.562942,3145728,7444.849609
1733176699.1050816,3211264,7856.430176
1733176799.1602595,3276800,7711.256836
1733176899.9194443,3342336,7640.075684
1733177000.451661,3407872,7262.329102
1733177102.7887197,3473408,7297.341309
1733177642.2226262,3500000,7537.703613
1733177779.2863686,3604480,7230.384766
1733177879.5599265,3670016,7448.228027
1733177979.3903134,3735552,7181.04248
1733178079.6436667,3801088,7382.477539
1733178179.2008214,3866624,7169.793945
1733178279.2012742,3932160,7207.966797
1733178379.6658647,3997696,7983.250977
1733178895.3609498,4000000,8066.453613
1733179054.9736216,4128768,7878.343262
1733179153.7635915,4194304,7329.519043
1733179257.5722501,4259840,8542.445313
1733179357.7159104,4325376,8026.34082
1733179458.484303,4390912,7675.209961
1733179557,4456448,7486.120117
1733180116.0956373,4500000,7543.895508
1733180236.613874,4587520,7535.405762
1733180335.7618656,4653056,7777.125488
1733180433.7367465,4718592,7783.632813
1733180532.8766205,4784128,7778.851563
1733180634.4775512,4849664,7385.821289
1733180733.7959082,4915200,8263.265625
1733180834.8884935,4980736,7201.135742
1733181384.3370988,5000000,7799.440918
1733193717.1992204,5177344,7621.166992
1733193815.9601038,5242880,6943.78418
1733193914.3497229,5308416,7308.133301
1733194014.3570867,5373952,7885.560547
1733194114.1096244,5439488,7744.638184
1733194215.5680218,5505024,7316.269531
1733194785.9607294,5546272,7213.702637
1733194910.1323602,5636096,7228.79541
1733195006.2971678,5701632,8079.786133
1733195106.2706752,5767168,8228.777344
1733195208.1737926,5832704,7184.143555
1733195307.8494735,5898240,8286.598633
1733195408.1790996,5963776,7150.761719
1733195508.4138162,6029312,7467.449219
1733196064.9747624,6046272,8598.162109
1733196213.6607556,6160384,7617.803711
1733196315.1713345,6225920,7774.324219
1733196414.9254284,6291456,7448.056641
1733196515.024775,6356992,7858.10791
1733196615.8038309,6422528,8744.87793
1733196715.9972856,6488064,8519.50293
1733197295.3440974,6546272,8464.683594
1733197404.387041,6619136,7619.543457
1733197509.1091774,6684672,9543.070313
1733197610.5345316,6750208,8193.201172
1733197711.2439103,6815744,7913.840332
1733197812.5711172,6881280,7513.247559
1733197911.4186509,6946816,7411.232422
1733198010.4544404,7012352,8385.589844
1733198570,7046272,8192.779297
1733198696.9778206,7143424,7925.539063
1733198796.5053067,7208960,8204.998047
1733198898.868639,7274496,8711.863281
1733199001.2293925,7340032,8007.98877
1733199100.3189712,7405568,8021.472656
1733199202.0858037,7471104,7574.305664
1733199304.9325376,7536640,7512.229004
1733199458.356109,7546272,8055.207031
1733199612.4233902,7667712,7797.683594
1733199713.7673397,7733248,7783.666992
1733199816.1441293,7798784,8502.136719
1733199916.9451091,7864320,7748.010742
1733200016.819385,7929856,8850.058594
1733200117.7403188,7995392,8549.070313
1733200702.9377124,8046272,8098.588867
1733200818.0802448,8126464,7340.086914
1733200918.5023105,8192000,7687.115234
1733201021.3636374,8257536,7789.977539
1733201119.2358823,8323072,7737.760742
1733201222.2456908,8388608,8124.28418
1733201322.2667317,8454144,7342.80957
1733201422.2147439,8519680,8215.99707
1733201600.0472653,8546272,7862.247559
1733201735.7878313,8650752,7942.419922
1733201836.4438472,8716288,7626.544434
1733201937.2888486,8781824,8288.342773
1733202039.9196396,8847360,7961.365234
1733202142,8912896,8357.0625
1733202243.8410125,8978432,7638.40625
1733202344.3498592,9043968,8185.617188
1733202859.8162508,9046272,7828.660645
1733203019.9695685,9175040,7419.979492
1733203122.6339161,9240576,8097.685547
1733203224.657718,9306112,7747.166504
1733203326.6889427,9371648,7869.486328
1733203426.3439412,9437184,7566.625977
1733203527.8613825,9502720,8392.173828
1733204099.6954007,9546272,7604.768066
1733204212.9075983,9633792,8199.942383
1733204311.9107223,9699328,7501.116211
1733204411.8047707,9764864,7969.825684
1733204513.9658618,9830400,7783.412109
1733204614.6390154,9895936,8148.01123
1733204715.3851473,9961472,7624.748047
1733204816.4462676,10027008,7365.881348
1733205357.215064,10046272,7954.522949
1733205502.2222493,10158080,7544.876465
